Пол,Возраст,1. Какие факторы мотивируют вас сдавать кровь?,2. Что для вас наиболее важно в процессе донорства?,3. Какие преимущества вы бы хотели получать как донор?,"4. Есть ли у вас какие-либо опасения или страхи, связанные с процессом сдачи крови?",5. Используете ли вы когда-либо приложения для доноров?,6. Какие функции мобильного приложения или веб-сайта для доноров вы бы хотели использовать?,7. Какой информацией вы бы хотели быть обеспечены перед сдачей крови?
Ж,19,"Желание помочь другим, Моральное удовлетворение, Личный опыт (например, спасение близкого человека)","Чистота и удобство помещения, Доступность информации о процессе сдачи крови","Бесплатные медицинские обследования, Приоритетная запись в пунктах сдачи крови, Специальные медали, сертификаты или значки для донора","Страх уколов, Страх перед возможными побочными эффектами (например, головокружение), Неуверенность в том, что кровь действительно нужна",Не знаю о таких приложениях,"Календарь донорских акций и мероприятий, Возможность общаться с другими донорами","Информация о процессе сдачи крови (как проходит процедура), Рекомендации по подготовке к сдаче (например, что и когда нужно есть/пить)"
Ж,25,"Признание в обществе, Получение наград или привилегий","Удобное местоположение пункта сдачи крови, Процесс сдачи крови без боли, Возможность записи на сдачу крови заранее","Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора","Боязнь боли, Страх перед возможными побочными эффектами (например, головокружение)",Не знаю о таких приложениях,"Уведомления о потребности в моей группе крови, Напоминания о следующей сдаче крови, Возможность общаться с другими донорами","Пояснения о том, как моя кровь поможет пациентам, Информация о безопасности сдачи крови"
Ж,21,"Желание помочь другим, Признание в обществе, Получение наград или привилегий","Удобное местоположение пункта сдачи крови, Профессионализм и доброжелательность персонала, Информация о том, как моя кровь поможет людям","Награды за количество сдач (например, подарки, сертификаты), Мотивационные программы (например, баллы, которые можно обменять на призы)","Страх уколов, Боязнь боли, Страх перед возможными побочными эффектами (например, головокружение)",Не знаю о таких приложениях,"Уведомления о потребности в моей группе крови, Отслеживание прогресса и достижений (например, количество спасенных жизней), Календарь донорских акций и мероприятий","Детали о возможных побочных эффектах и их предупреждении, Статистика о дефиците групп крови и актуальности сдачи"
Ж,18,"Благодарность от медицинских учреждений, Получение наград или привилегий","Профессионализм и доброжелательность персонала, Доступность информации о процессе сдачи крови","Мотивационные программы (например, баллы, которые можно обменять на призы), Специальные медали, сертификаты или значки для донора","Страх уколов, Боязнь боли","Нет, никогда","Уведомления о потребности в моей группе крови, Вопросы и ответы, которые могут помочь новичкам","Рекомендации по восстановлению после сдачи крови, Истории доноров и положительные примеры"
Ж,20,"Желание помочь другим, Признание в обществе","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли","Возможность участвовать в просветительских акциях, Специальные медали, сертификаты или значки для донора","Страх уколов, Страх, что после сдачи крови буду плохо себя чувствовать","Да, иногда","Отслеживание прогресса и достижений (например, количество спасенных жизней), Информация о пунктах сдачи крови поблизости",Контактные данные для обратной связи с медицинским учреждением
М,25,"Признание в обществе, Чувство социальной ответственности","Быстрое и комфортное оформление, Процесс сдачи крови без боли, Наличие дополнительных услуг (например, чай или угощения после сдачи)","Бесплатные медицинские обследования, Скидки и акции от партнеров (например, кафе, магазины), Мотивационные программы (например, баллы, которые можно обменять на призы)","Страх уколов, Боязнь боли, Недостаток информации о процессе","Да, иногда","Отслеживание прогресса и достижений (например, количество спасенных жизней), Календарь донорских акций и мероприятий, Просмотр информации о том, как именно моя кровь помогла другим",Другое (указать)
Ж,21,"Моральное удовлетворение, Признание в обществе, Благодарность от медицинских учреждений","Процесс сдачи крови без боли, Минимальное время ожидания, Возможность записи на сдачу крови заранее","Награды за количество сдач (например, подарки, сертификаты), Специальные медали, сертификаты или значки для донора","Страх уколов, Недостаток информации о процессе, Страх перед долгими ожиданиями или очередями",Не знаю о таких приложениях,"Запись на сдачу крови в удобное время, Личное портфолио с данными о количестве сдач крови, Просмотр информации о том, как именно моя кровь помогла другим",Информация о процессе сдачи крови (как проходит процедура)
Ж,18,"Желание помочь другим, Получение наград или привилегий","Быстрое и комфортное оформление, Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли","Бесплатные медицинские обследования, Скидки и акции от партнеров (например, кафе, магазины), Мотивационные программы (например, баллы, которые можно обменять на призы)","Страх перед возможными побочными эффектами (например, головокружение), Страх, что после сдачи крови буду плохо себя чувствовать","Нет, не вижу в этом необходимости","Уведомления о потребности в моей группе крови, Отслеживание прогресса и достижений (например, количество спасенных жизней), Другое (указать)","Рекомендации по подготовке к сдаче (например, что и когда нужно есть/пить), Статистика о дефиците групп крови и актуальности сдачи"
Ж,21,"Желание помочь другим, Признание в обществе, Благодарность от медицинских учреждений","Профессионализм и доброжелательность персонала, Минимальное время ожидания","Награды за количество сдач (например, подарки, сертификаты), Специальные медали, сертификаты или значки для донора","Страх уколов, Страх перед долгими ожиданиями или очередями",Не знаю о таких приложениях,"Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Календарь донорских акций и мероприятий","Пояснения о том, как моя кровь поможет пациентам"
М,18,"Желание помочь другим, Признание в обществе","Профессионализм и доброжелательность персонала, Чистота и удобство помещения, Информация о том, как моя кровь поможет людям","Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора","Страх уколов, Страх перед возможными побочными эффектами (например, головокружение), Недостаток информации о процессе",Не знаю о таких приложениях,"Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Просмотр информации о том, как именно моя кровь помогла другим","Рекомендации по восстановлению после сдачи крови, Контактные данные для обратной связи с медицинским учреждением"
