Пол,Возраст,1. Какие факторы мотивируют вас сдавать кровь?,2. Что для вас наиболее важно в процессе донорства?,3. Какие преимущества вы бы хотели получать как донор?,"4. Есть ли у вас какие-либо опасения или страхи, связанные с процессом сдачи крови?",5. Используете ли вы когда-либо приложения для доноров?,6. Какие функции мобильного приложения или веб-сайта для доноров вы бы хотели использовать?,7. Какой информацией вы бы хотели быть обеспечены перед сдачей крови?
Ж,19,"Желание помочь другим, Признание в обществе","Удобное местоположение пункта сдачи крови, Минимальное время ожидания","Бесплатные медицинские обследования, Награды за количество сдач","Боязнь боли, Страх перед возможными побочными эффектами, Страх уколов","Не знаю о таких приложениях, Да, иногда","Запись на сдачу крови, Уведомления о потребности в группе крови","Информация о процессе сдачи, Рекомендации по подготовке"
Ж,25,"Желание помочь другим, Признание в обществе",Профессионализм и доброжелательность персонала,"Скидки и акции от партнеров, Приоритетная запись в пунктах сдачи крови","Опасения по поводу безопасности, Страх перед возможными побочными эффектами","Да, иногда","Личное портфолио, Отслеживание прогресса","Пояснения о том, как моя кровь поможет пациентам, Информация о безопасности сдачи"
Ж,21,"Желание помочь другим, Признание в обществе","Удобное местоположение пункта сдачи крови, Преимущества для регулярных доноров","Мотивационные программы, Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора",что кровь действительно нужна,"Не знаю о таких приложениях, Да, иногда","Напоминания о следующей сдаче, Календарь донорских акций","Статистика о дефиците групп крови, Детали о побочных эффектах"
Ж,18,Благодарность от медицинских учреждений,"Быстрое и комфортное оформление, Чистота и удобство помещения","Бесплатные медицинские обследования, Специальные медали для донора","Страх перед долгими ожиданиями, Опасения по поводу безопасности","Нет, но планирую начать","Информация о пунктах сдачи крови поблизости, Просмотр информации о том, как моя кровь помогла","Рекомендации по восстановлению после сдачи, Истории доноров"
Ж,20,Чувство социальной ответственности,"Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Мотивационные программы, Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора","Боязнь боли, Страх перед возможными побочными эффектами, Страх уколов","Нет, не вижу в этом необходимости","Истории успешных случаев, Возможность общаться с другими донорами",Контактные данные для обратной связи
М,25,"Личный опыт, Желание помочь другим","Процесс сдачи крови без боли, Минимальное время ожидания","Скидки и акции от партнеров, Приоритетная запись",что после сдачи крови буду плохо себя чувствовать,Не знаю о таких приложениях,Вопросы и ответы для новичков,Другое
Ж,21,"Моральное удовлетворение, Получение наград или привилегий","Доступность информации о процессе сдачи крови, Преимущества для регулярных доноров",Мотивационные программы,Страх уколов,регулярно,"Напоминания о следующей сдаче, Личное портфолио",Информация о процессе сдачи
Ж,18,Желание помочь другим,"Процесс сдачи крови без боли, Профессионализм и доброжелательность персонала","Приоритетная запись, Участие в просветительских акциях",Страх перед долгими ожиданиями,Да,Информация о пунктах сдачи крови поблизости,"Рекомендации по подготовке, Статистика о дефиците групп крови"
Ж,21,Чувство социальной ответственности,Возможность записи на сдачу крови заранее,"Мотивационные программы, Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора",Опасения по поводу безопасности,Нет,Истории успешных случаев,как моя кровь поможет
М,18,"Признание в обществе, Получение наград или привилегий","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Мотивационные программы, Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора","Страх перед возможными побочными эффектами, Страх уколов","Не знаю о таких приложениях, Да, иногда","Просмотр информации о том, как моя кровь помогла, Напоминания о следующей сдаче","Контактные данные для обратной связи, Рекомендации по восстановлению"
